Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,Specimen_voucher,haplotype
SRR12425370,missing,RAD-Seq,96,123995328,PRJNA656315,SAMN15778221,Plant,81376364,ACADEMIA SINICA,public,not applicable,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",missing,not applicable,SRX8921395,China,Asia,"China: Liancheng\, Longyan\, Fujian Province",Illumina HiSeq 2500,KFC1726-3,25.4537 N 116.6705 E,LGL16_KC03_504bp_phix_L3_KFC1726_3,SINGLE,Restriction Digest,GENOMIC,Broussonetia papyrifera,ILLUMINA,2024-08-05T00:00:00Z,2020-08-10T21:14:00Z,1,KFC1726_3_Fujian_Longyan_cp21,SRP276968,leaves,HAST: Kuo-Fang Chung 1726,cp21
SRR12425371,missing,RAD-Seq,96,186569184,PRJNA656315,SAMN15778220,Plant,121211222,ACADEMIA SINICA,public,not applicable,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",missing,not applicable,SRX8921394,China,Asia,"China: Liancheng\, Longyan\, Fujian Province",Illumina HiSeq 2500,KFC1726-4,25.4537 N 116.6705 E,LGL16_KC03_504bp_phix_L3_KFC1726_4,SINGLE,Restriction Digest,GENOMIC,Broussonetia papyrifera,ILLUMINA,2024-08-05T00:00:00Z,2020-08-10T21:15:00Z,1,KFC1726_4_Fujian_Longyan_cp01,SRP276968,leaves,HAST: Kuo-Fang Chung 1726,cp01
SRR12425372,missing,RAD-Seq,96,258160992,PRJNA656315,SAMN15778219,Plant,168150019,ACADEMIA SINICA,public,not applicable,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",missing,not applicable,SRX8921393,Taiwan,Asia,"Taiwan: Guanshan Township\, Taitung County",Illumina HiSeq 2500,Liu74-1,23.0196 N 121.1533 E,LGL16_KC03_504bp_phix_L3_Liu74_1,SINGLE,Restriction Digest,GENOMIC,Broussonetia papyrifera,ILLUMINA,2024-08-05T00:00:00Z,2020-08-10T21:15:00Z,1,N74_1_Taiwan_Taitung_cp17,SRP276968,leaves,Liu74,cp17
SRR12425373,missing,RAD-Seq,96,123933792,PRJNA656315,SAMN15778218,Plant,82342876,ACADEMIA SINICA,public,not applicable,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",missing,not applicable,SRX8921392,Taiwan,Asia,"Taiwan: Fangshan Township\, Pingtung County",Illumina HiSeq 2500,Liu81-4,22.2426 N 120.6652 E,LGL16_KC03_504bp_phix_L3_Liu81_4,SINGLE,Restriction Digest,GENOMIC,Broussonetia papyrifera,ILLUMINA,2024-08-05T00:00:00Z,2020-08-10T21:15:00Z,1,M81_4_Taiwan_Pingtung_cp17,SRP276968,leaves,Liu81,cp17
SRR12425374,missing,RAD-Seq,96,20041632,PRJNA656315,SAMN15778217,Plant,14031471,ACADEMIA SINICA,public,not applicable,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",missing,not applicable,SRX8921391,Taiwan,Asia,"Taiwan: Nanhua District\, Tainan City",Illumina HiSeq 2500,Liu107-4,23.0789 N 120.495 E,LGL16_KC03_504bp_phix_L3_Liu107_4,SINGLE,Restriction Digest,GENOMIC,Broussonetia papyrifera,ILLUMINA,2024-08-05T00:00:00Z,2020-08-10T21:45:00Z,1,K107_4_Taiwan_Tainan_cp17,SRP276968,leaves,Liu107,cp17
SRR12425375,missing,RAD-Seq,96,159498432,PRJNA656315,SAMN15778216,Plant,106441093,ACADEMIA SINICA,public,not applicable,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",missing,not applicable,SRX8921390,Taiwan,Asia,"Taiwan: Dawu Township\, Taitung County",Illumina HiSeq 2500,Liu80-1,22.4554 N 120.943 E,LGL16_KC03_504bp_phix_L3_Liu80_1,SINGLE,Restriction Digest,GENOMIC,Broussonetia papyrifera,ILLUMINA,2024-08-05T00:00:00Z,2020-08-10T21:15:00Z,1,N80_1_Taiwan_Taitung_cp16,SRP276968,leaves,Liu80,cp16
SRR12425376,missing,RAD-Seq,96,251287296,PRJNA656315,SAMN15778215,Plant,163684173,ACADEMIA SINICA,public,not applicable,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",missing,not applicable,SRX8921389,Taiwan,Asia,"Taiwan: Yanpu Township\, Pingtung County",Illumina HiSeq 2500,Liu111-5,22.7485 N 120.5612 E,LGL16_KC03_504bp_phix_L3_Liu111_5,SINGLE,Restriction Digest,GENOMIC,Broussonetia papyrifera,ILLUMINA,2024-08-05T00:00:00Z,2020-08-10T21:15:00Z,1,M111_5_Taiwan_Pingtung_cp16,SRP276968,leaves,Liu111,cp16
SRR12425377,missing,RAD-Seq,96,9519552,PRJNA656315,SAMN15778214,Plant,6660495,ACADEMIA SINICA,public,not applicable,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",missing,not applicable,SRX8921388,Taiwan,Asia,"Taiwan: Ciaotou District\, Kaohsiung City",Illumina HiSeq 2500,Liu103-4,22.7448 N 120.3165 E,LGL16_KC03_504bp_phix_L3_Liu103_4,SINGLE,Restriction Digest,GENOMIC,Broussonetia papyrifera,ILLUMINA,2024-08-05T00:00:00Z,2020-08-10T21:14:00Z,1,L103_4_Taiwan_Kaohsiung_cp16,SRP276968,leaves,Liu103,cp16
SRR12425378,missing,RAD-Seq,96,262159392,PRJNA656315,SAMN15778213,Plant,169519563,ACADEMIA SINICA,public,not applicable,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",missing,not applicable,SRX8921387,Taiwan,Asia,"Taiwan: Taibao Township\, Chiayi County",Illumina HiSeq 2500,SongL-1,23.453282 N 120.323743 E,LGL16_KC03_504bp_phix_L3_SongL_1,SINGLE,Restriction Digest,GENOMIC,Broussonetia papyrifera,ILLUMINA,2024-08-05T00:00:00Z,2020-08-10T21:15:00Z,1,SongL_1_Taiwan_Chiayi_cp11,SRP276968,leaves,SongL,cp11
SRR12425379,missing,RAD-Seq,96,178312992,PRJNA656315,SAMN15778212,Plant,117765171,ACADEMIA SINICA,public,not applicable,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",missing,not applicable,SRX8921386,Taiwan,Asia,"Taiwan: Ren'ai Township\, Nantou County",Illumina HiSeq 2500,Liu25-1,24.0378 N 121.1451 E,LGL16_KC03_504bp_phix_L3_Liu25_1,SINGLE,Restriction Digest,GENOMIC,Broussonetia papyrifera,ILLUMINA,2024-08-05T00:00:00Z,2020-08-10T21:15:00Z,1,P25_1_Taiwan_Nantou_cp09,SRP276968,leaves,Liu25,cp09
