****                   ADMIXTURE Version 1.4.0                  ****
****                    Copyright 2008-2025                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John Novembre, Ken Lange                    ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at https://dalexander.github.io/admixture/   ****

Cross-validation will be performed.  Folds=10.
Parallel execution requested.  Will use 24 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 137x88289
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.026	Loglikelihood: -4.34136e+06	(delta): 1.30195e+07
2 (EM) 	Elapsed: 0.023	Loglikelihood: -4.01853e+06	(delta): 322831
3 (EM) 	Elapsed: 0.023	Loglikelihood: -3.9633e+06	(delta): 55236.1
4 (EM) 	Elapsed: 0.023	Loglikelihood: -3.92843e+06	(delta): 34864.8
5 (EM) 	Elapsed: 0.022	Loglikelihood: -3.89921e+06	(delta): 29225.9
Initial loglikelihood: -3.89921e+06
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.258	Loglikelihood: -3.18321e+06	(delta): 715993
2 (QN/Block) 	Elapsed: 0.223	Loglikelihood: -2.92472e+06	(delta): 258498
3 (QN/Block) 	Elapsed: 0.404	Loglikelihood: -2.79405e+06	(delta): 130670
4 (QN/Block) 	Elapsed: 0.289	Loglikelihood: -2.74788e+06	(delta): 46171.7
5 (QN/Block) 	Elapsed: 0.283	Loglikelihood: -2.72383e+06	(delta): 24047.5
6 (QN/Block) 	Elapsed: 0.262	Loglikelihood: -2.71337e+06	(delta): 10453.2
7 (QN/Block) 	Elapsed: 0.32	Loglikelihood: -2.70574e+06	(delta): 7638.88
8 (QN/Block) 	Elapsed: 0.282	Loglikelihood: -2.70022e+06	(delta): 5520.5
9 (QN/Block) 	Elapsed: 0.273	Loglikelihood: -2.6969e+06	(delta): 3310.61
10 (QN/Block) 	Elapsed: 0.31	Loglikelihood: -2.6948e+06	(delta): 2101.25
11 (QN/Block) 	Elapsed: 0.301	Loglikelihood: -2.6938e+06	(delta): 998.227
12 (QN/Block) 	Elapsed: 0.281	Loglikelihood: -2.69301e+06	(delta): 791.631
13 (QN/Block) 	Elapsed: 0.298	Loglikelihood: -2.69262e+06	(delta): 390.439
14 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -2.69245e+06	(delta): 170.189
15 (QN/Block) 	Elapsed: 0.274	Loglikelihood: -2.6924e+06	(delta): 57.0707
16 (QN/Block) 	Elapsed: 0.283	Loglikelihood: -2.69238e+06	(delta): 17.2957
17 (QN/Block) 	Elapsed: 0.29	Loglikelihood: -2.69238e+06	(delta): 2.07075
18 (QN/Block) 	Elapsed: 0.317	Loglikelihood: -2.69237e+06	(delta): 1.32019
19 (QN/Block) 	Elapsed: 0.316	Loglikelihood: -2.69237e+06	(delta): 0.11689
20 (QN/Block) 	Elapsed: 0.333	Loglikelihood: -2.69237e+06	(delta): 0.0935283
21 (QN/Block) 	Elapsed: 0.296	Loglikelihood: -2.69237e+06	(delta): 0.141677
22 (QN/Block) 	Elapsed: 0.31	Loglikelihood: -2.69237e+06	(delta): 0.0500354
23 (QN/Block) 	Elapsed: 0.301	Loglikelihood: -2.69237e+06	(delta): 0.0690662
24 (QN/Block) 	Elapsed: 0.324	Loglikelihood: -2.69237e+06	(delta): 0.13313
25 (QN/Block) 	Elapsed: 0.324	Loglikelihood: -2.69237e+06	(delta): 0.0633731
26 (QN/Block) 	Elapsed: 0.33	Loglikelihood: -2.69237e+06	(delta): 0.0678312
27 (QN/Block) 	Elapsed: 0.313	Loglikelihood: -2.69237e+06	(delta): 0.0297336
28 (QN/Block) 	Elapsed: 0.321	Loglikelihood: -2.69237e+06	(delta): 0.0281525
29 (QN/Block) 	Elapsed: 0.353	Loglikelihood: -2.69237e+06	(delta): 0.0269342
30 (QN/Block) 	Elapsed: 0.337	Loglikelihood: -2.69237e+06	(delta): 0.0259621
31 (QN/Block) 	Elapsed: 0.325	Loglikelihood: -2.69237e+06	(delta): 0.0613068
32 (QN/Block) 	Elapsed: 0.306	Loglikelihood: -2.69237e+06	(delta): 0.0911824
33 (QN/Block) 	Elapsed: 0.31	Loglikelihood: -2.69237e+06	(delta): 0.0700485
34 (QN/Block) 	Elapsed: 0.298	Loglikelihood: -2.69237e+06	(delta): 0.0336626
35 (QN/Block) 	Elapsed: 0.283	Loglikelihood: -2.69237e+06	(delta): 0.140452
36 (QN/Block) 	Elapsed: 0.286	Loglikelihood: -2.69237e+06	(delta): 0.118733
