old_label,new_label,Organism,geo_loc_name,haplotype,isolate,Sample Name
SRR12425370,"Broussonetia papyrifera | China: Liancheng, Longyan, Fujian Province | cp21 | SRR12425370",Broussonetia papyrifera,"China: Liancheng, Longyan, Fujian Province",cp21,KFC1726-3,KFC1726_3_Fujian_Longyan_cp21
SRR12425371,"Broussonetia papyrifera | China: Liancheng, Longyan, Fujian Province | cp01 | SRR12425371",Broussonetia papyrifera,"China: Liancheng, Longyan, Fujian Province",cp01,KFC1726-4,KFC1726_4_Fujian_Longyan_cp01
SRR12425481,"Broussonetia papyrifera | China: Yangshan, Qingyuan, Guangdong Province | cp31 | SRR12425481",Broussonetia papyrifera,"China: Yangshan, Qingyuan, Guangdong Province",cp31,KFC1838,KFC1838_Guangdong_Qingyuan_cp31
SRR12425372,"Broussonetia papyrifera | Taiwan: Guanshan Township, Taitung County | cp17 | SRR12425372",Broussonetia papyrifera,"Taiwan: Guanshan Township, Taitung County",cp17,Liu74-1,N74_1_Taiwan_Taitung_cp17
SRR12425538,"Broussonetia papyrifera | Taiwan: Guanshan Township, Taitung County | CloseTocp05 | SRR12425538",Broussonetia papyrifera,"Taiwan: Guanshan Township, Taitung County",CloseTocp05,TGS02-2,TGS02_2_Taiwan_Taitung_CloseTocp05
SRR12425380,"Broussonetia papyrifera | Taiwan: Taitung City, Taitung County | cp05 | SRR12425380",Broussonetia papyrifera,"Taiwan: Taitung City, Taitung County",cp05,TTD01-2,TTD01_2_Taiwan_Taitung_cp05
SRR12425384,"Broussonetia papyrifera | Taiwan: Luye Township, Taitung County | cp05 | SRR12425384",Broussonetia papyrifera,"Taiwan: Luye Township, Taitung County",cp05,Liu75-2,N75_2_Taiwan_Taitung_cp05
SRR12425456,"Broussonetia papyrifera | Taiwan: Taitung City, Taitung County | cp16 | SRR12425456",Broussonetia papyrifera,"Taiwan: Taitung City, Taitung County",cp16,TTD01-1,TTD01_1_Taiwan_Taitung_cp16
SRR12425422,"Broussonetia papyrifera | Taiwan: Fuli Township, Hualien County | cp05 | SRR12425422",Broussonetia papyrifera,"Taiwan: Fuli Township, Hualien County",cp05,KFC3104-1,KFC3104_1_Taiwan_Hualien_cp05
SRR12425461,"Broussonetia papyrifera | Taiwan: Hongtou, Lanyu Township, Taitung County | cp16 | SRR12425461",Broussonetia papyrifera,"Taiwan: Hongtou, Lanyu Township, Taitung County",cp16,LYH91,LYH91_Taiwan_Taitung_Lanyu_cp16
SRR12425455,"Broussonetia papyrifera | Taiwan: Chenggong Township, Taitung County | cp16 | SRR12425455",Broussonetia papyrifera,"Taiwan: Chenggong Township, Taitung County",cp16,TCK01-1,TCK01_1_Taiwan_Taitung_cp16
SRR12425383,"Broussonetia papyrifera | Taiwan: Hualien County, Hualien County | cp05 | SRR12425383",Broussonetia papyrifera,"Taiwan: Hualien County, Hualien County",cp05,Liu66-3,O66_3_Taiwan_Hualien_cp05
SRR12425501,"Broussonetia papyrifera | Taiwan: Hualien County, Hualien County | cp06 | SRR12425501",Broussonetia papyrifera,"Taiwan: Hualien County, Hualien County",cp06,Liu66-1,O66_1_Taiwan_Hualien_cp06
SRR12425420,"Broussonetia papyrifera | Taiwan: Fenglin Township, Hualien County | cp52 | SRR12425420",Broussonetia papyrifera,"Taiwan: Fenglin Township, Hualien County",cp52,KFC3054-1,KFC3054_1_Taiwan_Hualien_cp52
SRR12425421,"Broussonetia papyrifera | Taiwan: Fenglin Township, Hualien County | cp06 | SRR12425421",Broussonetia papyrifera,"Taiwan: Fenglin Township, Hualien County",cp06,KFC3051-1,KFC3051_1_Taiwan_Hualien_cp06
SRR12425391,"Broussonetia papyrifera | Taiwan: Changbin Township, Taitung County | cp05 | SRR12425391",Broussonetia papyrifera,"Taiwan: Changbin Township, Taitung County",cp05,TCB01-1,TCB01_1_Taiwan_Taitung_cp05
SRR12425423,"Broussonetia papyrifera | Taiwan: Fuli Township, Hualien County | cp05 | SRR12425423",Broussonetia papyrifera,"Taiwan: Fuli Township, Hualien County",cp05,KFC3064-1,KFC3064_1_Taiwan_Hualien_cp05
SRR12425425,"Broussonetia papyrifera | Taiwan: Fengbin Township, Hualien County | cp01 | SRR12425425",Broussonetia papyrifera,"Taiwan: Fengbin Township, Hualien County",cp01,KFC3058-1,KFC3058_1_Taiwan_Hualien_cp01
SRR12425373,"Broussonetia papyrifera | Taiwan: Fangshan Township, Pingtung County | cp17 | SRR12425373",Broussonetia papyrifera,"Taiwan: Fangshan Township, Pingtung County",cp17,Liu81-4,M81_4_Taiwan_Pingtung_cp17
SRR12425452,"Broussonetia papyrifera | Taiwan: Fangshan Township, Pingtung County | cp17 | SRR12425452",Broussonetia papyrifera,"Taiwan: Fangshan Township, Pingtung County",cp17,PFS01-1,PFS01_1_Taiwan_Pingtung_cp17
SRR12425376,"Broussonetia papyrifera | Taiwan: Yanpu Township, Pingtung County | cp16 | SRR12425376",Broussonetia papyrifera,"Taiwan: Yanpu Township, Pingtung County",cp16,Liu111-5,M111_5_Taiwan_Pingtung_cp16
SRR12425472,"Broussonetia papyrifera | Taiwan: Fangliao Township, Pingtung County | cp13 | SRR12425472",Broussonetia papyrifera,"Taiwan: Fangliao Township, Pingtung County",cp13,PFL01-1,PFL01_1_Taiwan_Pingtung_cp13
SRR12425459,"Broussonetia papyrifera | Taiwan: Liukuaicuo, Pingtung City, Pingtung County | cp16 | SRR12425459",Broussonetia papyrifera,"Taiwan: Liukuaicuo, Pingtung City, Pingtung County",cp16,PLG02-1,PLG02_1_Taiwan_Pingtung_cp16
