"Run","missing_rate","called_genotypes","Organism","geo_loc_name_country","geo_loc_name","haplotype","Sample Name"
"SRR12425464",0.277187653205418,75192,"Broussonetia papyrifera","Philippines","Philippines: Los Banos\, Laguna\, Luzon","cp43","KFC2018_3_Philippines_Luzon_cp43"
"SRR12425444",0.258615551731762,77124,"Broussonetia papyrifera","China","China: Longhai\, Zhangzhou\, Fujian Province","cp01","LYH100_3_Fujian_Zhangzhou_cp01"
"SRR12425411",0.254453170811424,77557,"Broussonetia papyrifera","Taiwan","Taiwan: Machu\, Lianjiang County\, Fujian Province","cp46","KFC2418_Fujian_Lianjiang_Machu_cp46"
"SRR12425373",0.249435242773511,78079,"Broussonetia papyrifera","Taiwan","Taiwan: Fangshan Township\, Pingtung County","cp17","M81_4_Taiwan_Pingtung_cp17"
"SRR12425526",0.249300662328049,78093,"Broussonetia papyrifera","China","China: Longzhou\, Chongzuo\, Guangxi Province","cp39","Peng22951_3_Guangxi_Chongzuo_cp39"
"SRR12425483",0.248233631653321,78204,"Broussonetia papyrifera","Taiwan","Taiwan: Pitou Township\, Changhua County","cp13","KFC3439_1_Taiwan_Changhua_cp13"
"SRR12425405",0.247945244984475,78234,"Broussonetia papyrifera","China","China: Shanghai Chenshan Botanical Garden\, Songjiang\, Shanghai City","cp01","xy005092_1_Shanghai_cp01"
"SRR12425525",0.242869639612793,78762,"Broussonetia papyrifera","China","China: Longzhou\, Chongzuo\, Guangxi Province","cp34","Peng22965_3_Guangxi_Chongzuo_cp34"
"SRR12425398",0.242860026723831,78763,"Broussonetia papyrifera","China","China: Mengyin\, Linyi\, Shandong Province","cp40","CY160123_1_Shandong_Linyi_cp40"
"SRR12425458",0.241735318715334,78880,"Broussonetia papyrifera","Taiwan","Taiwan: Yujing District\, Tainan City","cp16","NYJ02_1_Taiwan_Tainan_cp16"
"SRR12425413",0.239485902698338,79114,"Broussonetia papyrifera","Taiwan","Taiwan: Fengyuan District\, Taichung City","cp03","KFC2376_1_Taiwan_Taichung_cp03"
"SRR12425417",0.238899516471685,79175,"Broussonetia papyrifera","Taiwan","Taiwan: Zuozhen District\, Tainan City","cp16","LYH81_Taiwan_Tainan_cp16"
"SRR12425403",0.238159324021648,79252,"Broussonetia papyrifera","China","China: Jurong\, Zhenjiang\, Jiangsu Province","cp01","LP161319_1_Jiangsu_Jurong_cp01"
"SRR12425457",0.238053582243072,79263,"Broussonetia papyrifera","Taiwan","Taiwan: Qionglin Township\, Hsinchu County","cp01","KFC3429_1_Taiwan_Hsinchu_cp01"
"SRR12425409",0.234381458659771,79645,"Broussonetia papyrifera","China","China: Yanping\, Nanping\, Fujian Province","cp20","KFC1724_5_Fujian_Nanping_cp20"
"SRR12425370",0.23412191065781,79672,"Broussonetia papyrifera","China","China: Liancheng\, Longyan\, Fujian Province","cp21","KFC1726_3_Fujian_Longyan_cp21"
"SRR12425512",0.230305593740087,80069,"Broussonetia papyrifera","Fiji","Fiji: VanuaLevu","cp17","BQUCH0285_Fiji_VanuaLevu_cp17"
"SRR12425390",0.230055658627087,80095,"Broussonetia papyrifera","Fiji","Fiji: Ekubo\, Vatulele","cp17","LYH23_3_Fiji_Vatulele_cp17"
"SRR12425520",0.227729339498399,80337,"Broussonetia papyrifera","Viet Nam","Viet Nam: Chuong My\, Ha Noi","cp35","LiuXM1_Vietnam_HaNoi_cp35"
"SRR12425510",0.227142953271747,80398,"Broussonetia papyrifera","Fiji","Fiji: Taveuni Island","cp17B","BQUCH0296_Fiji_TaveuniIsland_cp17B"
"SRR12425445",0.225979793707403,80519,"Broussonetia papyrifera","China","China: Siming\, Xiamen\, Fujian Province","cp01","LYH97_3_Fujian_Xiamen_cp01"
"SRR12425443",0.223345862131947,80793,"Broussonetia papyrifera","China","China: Xiangcheng\, Zhangzhou\, Fujian Province","cp01","LYH101_5_Fujian_Zhangzhou_cp01"
"SRR12425455",0.222499927903333,80881,"Broussonetia papyrifera","Taiwan","Taiwan: Chenggong Township\, Taitung County","cp16","TCK01_1_Taiwan_Taitung_cp16"
"SRR12425423",0.222384573235795,80893,"Broussonetia papyrifera","Taiwan","Taiwan: Fuli Township\, Hualien County","cp05","KFC3064_1_Taiwan_Hualien_cp05"
"SRR12425452",0.221567477674065,80978,"Broussonetia papyrifera","Taiwan","Taiwan: Fangshan Township\, Pingtung County","cp17","PFS01_1_Taiwan_Pingtung_cp17"
"SRR12425536",0.221509800340296,80984,"Broussonetia papyrifera","China","China: Yanping\, Nanping\, Fujian Province","cp20","KFC1724_1_Fujian_Nanping_cp20"
"SRR12425436",0.221221413671451,81014,"Broussonetia papyrifera","China","China: Licheng\, Quanzhou\, Fujian Province","cp34","LYH105_1_Fujian_Quanzhou_cp34"
"SRR12425522",0.220240898997376,81116,"Broussonetia papyrifera","USA","USA: Waimea Valley\, Oahu\, Hawaii","cp41","BQUCH0172_Hawaii_Oahu_cp41"
"SRR12425400",0.219923673661646,81149,"Broussonetia papyrifera","China","China: Jiawang\, Xuzhou\, Zhejiang Province","cp29","CY160117_1_Zhejiang_Xuzhou_cp29"
"SRR12425440",0.219279610101224,81216,"Broussonetia papyrifera","China","China: Siming\, Xiamen\, Fujian Province","cp40","LYH96_4_Fujian_Xiamen_cp40"
"SRR12425399",0.215261422515309,81634,"Broussonetia papyrifera","China","China: White Horse Temple\, Taian\, Shandong Province","cp29","CY160035_1_Shandong_Taian_cp29"
"SRR12425392",0.215098003402963,81651,"Broussonetia papyrifera","Tonga","Tonga: Nuku'alofa\, Tongatapu","cp17","LYH1_Tonga_Tongatapu_cp17"
"SRR12425387",0.214982648735424,81663,"Broussonetia papyrifera","French Polynesia","French Polynesia: Tahiti","cp17B","BQUCH0435_Tahiti_cp17B"
"SRR12425391",0.212906264719736,81879,"Broussonetia papyrifera","Taiwan","Taiwan: Changbin Township\, Taitung County","cp05","TCB01_1_Taiwan_Taitung_cp05"
"SRR12425414",0.212723619829467,81898,"Broussonetia papyrifera","China","China: Fujian Province Agriculture and Forestry University\, Fuzhou\, Fujian Province","cp01","LFC2413_Fujian_Fuzhou_cp01"
"SRR12425382",0.212416007382699,81930,"Broussonetia papyrifera","Taiwan","Taiwan: Xincheng Township\, Hualien County","cp06","O36_5_Taiwan_Hualien_cp06"
"SRR12425395",0.209801301585165,82202,"Broussonetia papyrifera","China","China: Peking University\, Haidian\, Beijing","cp40","KFC3448_1_Beijing_cp40"
"SRR12425514",0.209782075807242,82204,"Broussonetia papyrifera","Tonga","Tonga: Mangia\, Vava'u","cp17","LYH13_3_Tonga_Vavau_cp17"
"SRR12425393",0.207648014457785,82426,"Broussonetia papyrifera","Japan","Japan: The University of Tokyo\, Bunkyo\, Tokyo","cp28","LYH87_Japan_Tokyo_cp28"
"SRR12425404",0.207609562901939,82430,"Broussonetia papyrifera","China","China: Shanghai Chenshan Botanical Garden\, Songjiang\, Shanghai City","CloseTocp01","xy005087_1_Shanghai_CloseTocp01"
"SRR12425410",0.205360146884943,82664,"Broussonetia papyrifera","Taiwan","Taiwan: Kincheng\, Kinmen County\, Fujian Province","cp48","KFC2697_Fujian_Kinmen_Kincheng_cp48"
"SRR12425537",0.205264017995328,82674,"Broussonetia papyrifera","China","China: Liancheng\, Longyan\, Fujian Province","cp45","KFC1726_1_Fujian_Longyan_cp45"
"SRR12425408",0.204543051323214,82749,"Broussonetia papyrifera","China","China: Donghai\, Lianyungang\, Jiangsu Province","cp47","CY160103_Jiangsu_Donghai_cp47"
"SRR12425419",0.204235438876446,82781,"Broussonetia papyrifera","Taiwan","Taiwan: Hengchun Township\, Pingtung County","cp09","PHC01_2_Taiwan_Pingtung_cp09"
"SRR12425532",0.202005248637373,83013,"Broussonetia papyrifera","China","China: Nanlang\, Zhongshan\, Guangdong Province","cp21","KFC1777_1_Guangdong_Zhongshan_cp21"
"SRR12425527",0.201168927297721,83100,"Broussonetia papyrifera","Taiwan","Taiwan: Qingshui District\, Taichung City","cp09","KFC2379_1_Taiwan_Taichung_cp09"
"SRR12425441",0.200938217962644,83124,"Broussonetia papyrifera","China","China: Longhai\, Zhangzhou\, Fujian Province","cp29","LYH99_4_Fujian_Zhangzhou_cp29"
"SRR12425494",0.198092802830034,83420,"Broussonetia papyrifera","Taiwan","Taiwan: Yujing District\, Tainan City","cp09","NYJ01_1_Taiwan_Tainan_cp09"
"SRR12425375",0.197083449489075,83525,"Broussonetia papyrifera","Taiwan","Taiwan: Dawu Township\, Taitung County","cp16","N80_1_Taiwan_Taitung_cp16"
"SRR12425534",0.19705461082219,83528,"Broussonetia papyrifera","China","China: Boluo\, Huizhou\, Guangdong Province","cp01","KFC1736_2_Guangdong_Huizhou_cp01"
"SRR12425412",0.196804675709191,83554,"Broussonetia papyrifera","China","China: Xiamen Botanical Garden\, Xiamen\, Fujian Province","cp22","LYH110_Fujian_Xiamen_cp22"
"SRR12425472",0.195141645918848,83727,"Broussonetia papyrifera","Taiwan","Taiwan: Fangliao Township\, Pingtung County","cp13","PFL01_1_Taiwan_Pingtung_cp13"
"SRR12425506",0.194055389466196,83840,"Broussonetia papyrifera","Chile","Chile: HangaOteo\, Easter Island","cp17","BQUCH0226_RapaNui_HangaOteo_cp17"
"SRR12425397",0.192430811231699,84009,"Broussonetia papyrifera","China","China: Yuntai Mountain\, Jiaozuo\, Henan Province","cp40","C1_Henan_Jiaozuo_cp40"
"SRR12425456",0.192209714785585,84032,"Broussonetia papyrifera","Taiwan","Taiwan: Taitung City\, Taitung County","cp16","TTD01_1_Taiwan_Taitung_cp16"
"SRR12425371",0.191767521893355,84078,"Broussonetia papyrifera","China","China: Liancheng\, Longyan\, Fujian Province","cp01","KFC1726_4_Fujian_Longyan_cp01"
"SRR12425435",0.191238813000471,84133,"Broussonetia papyrifera","Taiwan","Taiwan: Nantou City\, Nantou County","cp01","KCF3437_1_Taiwan_Nantou_cp01"
"SRR12425430",0.189556557432205,84308,"Broussonetia papyrifera","China","China: Xianju\, Taizhou\, Zhejiang Province","cp28","KFC3382_3_Zhejiang_Xianju_cp28"
"SRR12425379",0.188518365424361,84416,"Broussonetia papyrifera","Taiwan","Taiwan: Ren'ai Township\, Nantou County","cp09","P25_1_Taiwan_Nantou_cp09"
"SRR12425459",0.188162688532785,84453,"Broussonetia papyrifera","Taiwan","Taiwan: Liukuaicuo\, Pingtung City\, Pingtung County","cp16","PLG02_1_Taiwan_Pingtung_cp16"
"SRR12425401",0.187874301863939,84483,"Broussonetia papyrifera","China","China: Lianyun\, Lianyungang\, Zhejiang Province","cp01","CY160088_Zhejiang_Lianyungang_cp01"
"SRR12425504",0.187730108529516,84498,"Broussonetia papyrifera","Chile","Chile: RanoKau\, Easter Island","gaby003","BQUCH0221_RapaNui_RanoKau_gaby003"
"SRR12425402",0.185778692070328,84701,"Broussonetia papyrifera","Taiwan","Taiwan: Bali District\, Taipei City","CloseTocp01","KFC3417_1_Taiwan_Taipei_CloseTocp01"
"SRR12425396",0.185557595624213,84724,"Broussonetia papyrifera","China","China: Peking University\, Haidian\, Beijing","CloseTocp40","KFC3448_2_Beijing_CloseTocp40"
"SRR12425450",0.184548242283253,84829,"Broussonetia papyrifera","Taiwan","Taiwan: Fenggang Township\, Pingtung County","cp17","PFK03_3_Taiwan_Pingtung_cp17"
"SRR12425540",0.183856114278024,84901,"Broussonetia papyrifera","Taiwan","Taiwan: National Taiwan University\, Zhongzheng\, Taipei City","cp01","NTU01_3_Taiwan_Taipei_cp01"
"SRR12425453",0.183221663606564,84967,"Broussonetia papyrifera","Taiwan","Taiwan: Taiwu Township\, Pingtung County","cp17","PTW03_1_Taiwan_Pingtung_cp17"
"SRR12425426",0.18269295471368,85022,"Broussonetia papyrifera","Taiwan","Taiwan: Nan'ao Township\, Yilan County","cp01","LYH63_Taiwan_Yilan_cp01"
"SRR12425492",0.182673728935757,85024,"Broussonetia papyrifera","China","China: Yanping District\, Longyan\, Fujian Province","cp29","KFC1725_5_Fujian_Longyan_cp29"
"SRR12425394",0.181462504926606,85150,"Broussonetia papyrifera","Japan","Japan: The University of Tokyo\, Bunkyo\, Tokyo","cp28","LYH86_Japan_Tokyo_cp28"
"SRR12425415",0.181135666701914,85184,"Broussonetia papyrifera","China","China: Fujian Province Agriculture and Forestry University\, Fuzhou\, Fujian Province","cp01","KFC2411_Fujian_Fuzhou_cp01"
"SRR12425388",0.18092418314476,85206,"Broussonetia papyrifera","Samoa","Samoa: Palauli Siapo demostration\, Palauli\, Savaii","cp17","LYH27_Samoa_Savaii_cp17"
"SRR12425535",0.180443538696685,85256,"Broussonetia papyrifera","China","China: Boluo\, Huizhou\, Guangdong Province","cp01","KFC1736_1_Guangdong_Huizhou_cp01"
"SRR12425421",0.180424312918761,85258,"Broussonetia papyrifera","Taiwan","Taiwan: Fenglin Township\, Hualien County","cp06","KFC3051_1_Taiwan_Hualien_cp06"
"SRR12425429",0.179914829803801,85311,"Broussonetia papyrifera","China","China: Dongyang\, Jinhua\, Zhejiang Province","cp01","KFC3393_3_Zhejiang_Dongyang_cp01"
"SRR12425447",0.178809347573226,85426,"Broussonetia papyrifera","Taiwan","Taiwan: Nanhua District\, Tainan City","cp54","NNH01_1_Taiwan_Tainan_cp54"
"SRR12425507",0.17820373556865,85489,"Broussonetia papyrifera","French Polynesia","French Polynesia: Ahurei\, Rapa Iti","cp17","BQUCH0439_Rapa_cp17"
"SRR12425523",0.176309996443231,85686,"Broussonetia papyrifera","USA","USA: Bishop Museum\, Oahu\, Hawaii","cp17","BQUCH0164_Hawaii_Oahu_cp17"
"SRR12425454",0.17396445153662,85930,"Broussonetia papyrifera","Taiwan","Taiwan: Liukuaicuo\, Pingtung City\, Pingtung County","cp17","PLB01_3_Taiwan_Pingtung_cp17"
"SRR12425521",0.173916387091813,85935,"Broussonetia papyrifera","USA","USA: Waimea\, Big Island\, Hawaii","cp41","BQUCH0177_Hawaii_BigIsland_cp41"
"SRR12425438",0.173426129754775,85986,"Broussonetia papyrifera","China","China: Xiangcheng\, Zhangzhou\, Fujian Province","cp20","LYH101_4_Fujian_Zhangzhou_cp20"
"SRR12425376",0.172772453305392,86054,"Broussonetia papyrifera","Taiwan","Taiwan: Yanpu Township\, Pingtung County","cp16","M111_5_Taiwan_Pingtung_cp16"
"SRR12425516",0.172714775971623,86060,"Broussonetia papyrifera","Taiwan","Taiwan: Pingtung City\, Pingtung County","cp09","PPC01_1_Taiwan_Pingtung_cp09"
"SRR12425482",0.172522518192392,86080,"Broussonetia papyrifera","China","China: Nanlang\, Zhongshan\, Guangdong Province","cp28","KFC1776_Guangdong_Zhongshan_cp28"
"SRR12425539",0.1723206475242,86101,"Broussonetia papyrifera","Taiwan","Taiwan: Hsinwu District\, Taoyuan City","cp01","KFC3423_1_Taiwan_Taoyuan_cp01"
"SRR12425461",0.172282195968354,86105,"Broussonetia papyrifera","Taiwan","Taiwan: Hongtou\, Lanyu Township\, Taitung County","cp16","LYH91_Taiwan_Taitung_Lanyu_cp16"
"SRR12425463",0.171907293298855,86144,"Broussonetia papyrifera","Indonesia","Indonesia: Lengkeka\, Tengah\, Sulawesi","cp17D","csc55_1_Indonesia_Sulawesi_cp17D"
"SRR12425432",0.171743874186509,86161,"Broussonetia papyrifera","China","China: Disu\, Duan\, Guangxi Province","cp34","Peng24861_1_Guangxi_Duan_cp34"
"SRR12425418",0.171628519518971,86173,"Broussonetia papyrifera","Taiwan","Taiwan: National Chiayi University\, East District\, Chiayi City\, Chiayi County","cp09","SongNCYU_1_Taiwan_Chiayi_cp09"
"SRR12425524",0.170513424399435,86289,"Broussonetia papyrifera","China","China: Xuanwu\, Nanjing\, Jiangsu Province","cp53","2015003_Jiangsu_Nanjing_cp53"
"SRR12425384",0.167543041710325,86598,"Broussonetia papyrifera","Taiwan","Taiwan: Luye Township\, Taitung County","cp05","N75_2_Taiwan_Taitung_cp05"
"SRR12425424",0.166831687927173,86672,"Broussonetia papyrifera","Taiwan","Taiwan: Tongluo Township\, Miaoli County","cp01","KFC3442_1_Taiwan_Miaoli_cp01"
"SRR12425508",0.166831687927173,86672,"Broussonetia papyrifera","Wallis and Futuna","Wallis and Futuna: Wallis","cp17","BQUCH0333_Wallis_cp17"
"SRR12425446",0.166447172368712,86712,"Broussonetia papyrifera","Taiwan","Taiwan: Zhunan Township\, Miaoli County","cp01","KFC3431_1_Taiwan_Miaoli_cp01"
"SRR12425529",0.165255174137484,86836,"Broussonetia papyrifera","China","China: Huicheng \, Huizhou\, Guangdong Province","cp26","KFC1735_1_Guangdong_Huizhou_cp26"
"SRR12425471",0.163678660347794,87000,"Broussonetia papyrifera","Japan","Japan: Iriomote\, Yaeyama\, Okinawa","cp05B","PNAS_KFC2383_1_Japan_Yaeyama_Iriomote_cp05B"
"SRR12425380",0.163534467013372,87015,"Broussonetia papyrifera","Taiwan","Taiwan: Taitung City\, Taitung County","cp05","TTD01_2_Taiwan_Taitung_cp05"
"SRR12425470",0.163063435454257,87064,"Broussonetia papyrifera","Japan","Japan: Kurima\, Miyakojima\, Okinawa","cp05B","Nakamura12910_Japan_Okinawa_KurimaIsland_cp05B"
"SRR12425431",0.163044209676334,87066,"Broussonetia papyrifera","China","China: Xianju\, Taizhou\, Zhejiang Province","cp28","KFC3382_1_Zhejiang_Xianju_cp28"
"SRR12425416",0.162717371451642,87100,"Broussonetia papyrifera","Taiwan","Taiwan: Fenggang Township\, Pingtung County","p17","PFK02_2_Taiwan_Pingtung_cp17"
"SRR12425538",0.162602016784104,87112,"Broussonetia papyrifera","Taiwan","Taiwan: Guanshan Township\, Taitung County","CloseTocp05","TGS02_2_Taiwan_Taitung_CloseTocp05"
"SRR12425433",0.160814019437261,87298,"Broussonetia papyrifera","China","China: Fangcheng\, Fangchenggang\, Guangxi Province","cp32","Peng24763_1_Guangxi_Fangchenggang_cp32"
"SRR12425448",0.158564603420266,87532,"Broussonetia papyrifera","Taiwan","Taiwan: Hemei Township\, Changhua County","cp50","KFC3435_1_Taiwan_Changhua_cp50"
"SRR12425476",0.157824410970229,87609,"Broussonetia papyrifera","China","China: Wuzhishan\, Hainan Province","cp20","csc_hainam_Hainan_Wuzhishan_cp20"
"SRR12425372",0.15719957318773,87674,"Broussonetia papyrifera","Taiwan","Taiwan: Guanshan Township\, Taitung County","cp17","N74_1_Taiwan_Taitung_cp17"
"SRR12425428",0.157084218520192,87686,"Broussonetia papyrifera","China","China: Xianju\, Taizhou\, Zhejiang Province","cp01","HHH239_Zhejiang_Xianju_cp01"
"SRR12425473",0.155430801618811,87858,"Broussonetia papyrifera","Japan","Japan: Taketomi\, Yaeyama\, Okinawa","cp05B","PNAS_KFC2377_2_Japan_Yaeyama_Taketomi_cp05B"
"SRR12425442",0.154527190056428,87952,"Broussonetia papyrifera","China","China: Fengze\, Quanzhou\, Fujian Province","CloseTocp01","LYH106_5_Fujian_Quanzhou_CloseTocp01"
"SRR12425407",0.15428686783239,87977,"Broussonetia papyrifera","China","China: Deqing\, Huzhou\, Zhejiang Province","cp01","LP150967_DQ_1_Zhejiang_Deqing_cp01"
"SRR12425389",0.153931190940813,88014,"Broussonetia papyrifera","Samoa","Samoa: Faleolo International Airpor\, Faleolo\, Upolu","cp17","LYH26_2_Samoa_Upolu_cp17"
"SRR12425509",0.153835062051198,88024,"Broussonetia papyrifera","French Polynesia","French Polynesia: Tahiti","cp17","BQUCH0433_Tahiti_cp17"
"SRR12425437",0.153758158939506,88032,"Broussonetia papyrifera","China","China: Jinjiang\, Quanzhou\, Fujian Province","cp20","LYH109_4_Fujian_Quanzhou_cp20"
"SRR12425383",0.15371970738366,88036,"Broussonetia papyrifera","Taiwan","Taiwan: Hualien County\, Hualien County","cp05","O66_3_Taiwan_Hualien_cp05"
