Run,PC1,PC2,PC3,country,locality
SRR12425370,-48.1049626124183,-15.4223221185366,21.4359099764932,China,"China, Liancheng, Longyan, Fujian Province"
SRR12425371,-47.663864745131,-8.05906666805976,8.9076560364113,China,"China, Liancheng, Longyan, Fujian Province"
SRR12425372,36.7334531933761,7.49283287894864,11.1251131631981,Taiwan,"Taiwan, Guanshan Township, Taitung County"
SRR12425373,32.5448853465026,16.5485697044799,10.9891630960665,Taiwan,"Taiwan, Fangshan Township, Pingtung County"
SRR12425375,35.3183491745802,8.12684014621719,11.9821154637342,Taiwan,"Taiwan, Dawu Township, Taitung County"
SRR12425376,32.0733063788443,27.3415999567848,7.21751413604829,Taiwan,"Taiwan, Yanpu Township, Pingtung County"
SRR12425378,33.1891487458613,31.0037033389613,6.69572478913242,Taiwan,"Taiwan, Taibao Township, Chiayi County"
SRR12425379,29.3711609994066,29.1584989595442,6.01293314353789,Taiwan,"Taiwan, Ren'ai Township, Nantou County"
SRR12425380,38.8006213567372,8.31137984650454,13.3607980912996,Taiwan,"Taiwan, Taitung City, Taitung County"
SRR12425382,34.527023212254,10.4729742575059,11.4156993872132,Taiwan,"Taiwan, Xincheng Township, Hualien County"
SRR12425383,36.6601414364665,10.157472849176,11.9082271001439,Taiwan,"Taiwan, Hualien County, Hualien County"
SRR12425384,35.7292862925795,9.00494831255793,12.081838170095,Taiwan,"Taiwan, Luye Township, Taitung County"
SRR12425387,45.9835955147244,-46.3089155961719,-20.1177185426351,French Polynesia,"French Polynesia, Tahiti"
SRR12425388,47.6218942194234,-48.5074231086609,-21.344374852327,Samoa,"Samoa, Palauli Siapo demostration, Palauli, Savaii"
SRR12425389,48.6390814115365,-49.8502291571214,-21.7779996406339,Samoa,"Samoa, Faleolo International Airpor, Faleolo, Upolu"
SRR12425390,45.6278232353701,-46.580016446266,-20.5132202447728,Fiji,"Fiji, Ekubo, Vatulele"
SRR12425391,35.0557878654161,8.22575198195889,10.9782535708386,Taiwan,"Taiwan, Changbin Township, Taitung County"
SRR12425392,46.3117649618466,-47.2305056492267,-20.6347210941688,Tonga,"Tonga, Nuku'alofa, Tongatapu"
SRR12425393,-31.9894271924008,23.505008630806,-41.2402402969243,Japan,"Japan, The University of Tokyo, Bunkyo, Tokyo"
SRR12425394,-32.371828061154,21.8395049144214,-41.8509134672193,Japan,"Japan, The University of Tokyo, Bunkyo, Tokyo"
SRR12425395,-44.5694269116458,-7.00542788241282,1.4512055910136,China,"China, Peking University, Haidian, Beijing"
SRR12425396,-45.4863706364584,-6.86967344000975,3.25704784219766,China,"China, Peking University, Haidian, Beijing"
SRR12425397,-45.4321208696991,-6.74738164104141,3.53244185974428,China,"China, Yuntai Mountain, Jiaozuo, Henan Province"
SRR12425398,-41.6637556048741,0.631829357370231,-8.14895804618958,China,"China, Mengyin, Linyi, Shandong Province"
SRR12425399,-42.8403858357343,1.50860845979708,-10.8887191892557,China,"China, White Horse Temple, Taian, Shandong Province"
SRR12425400,-41.9584466438013,0.523428757853903,-8.04795681773701,China,"China, Jiawang, Xuzhou, Zhejiang Province"
SRR12425401,-38.3379995683158,9.48007085012754,-23.6376892768776,China,"China, Lianyun, Lianyungang, Zhejiang Province"
SRR12425402,31.6323037557357,26.7836963375045,9.97795912359743,Taiwan,"Taiwan, Bali District, Taipei City"
SRR12425403,-32.8207041573076,11.3340359487055,-22.7166233885146,China,"China, Jurong, Zhenjiang, Jiangsu Province"
SRR12425404,-29.5823971136653,17.7086413731568,-30.7444732580669,China,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City"
SRR12425405,-27.6411075509495,17.0230580214359,-30.5540028145492,China,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City"
SRR12425406,-33.2884340165689,17.9510646272395,-33.9573933941914,China,"China, Xihu, Hangzhou, Zhejiang Province"
SRR12425407,-32.1946349751191,18.1997355886489,-34.2322626799845,China,"China, Deqing, Huzhou, Zhejiang Province"
SRR12425408,-37.7688808416262,7.95691117983657,-19.3784307073219,China,"China, Donghai, Lianyungang, Jiangsu Province"
SRR12425409,-37.0604914441931,8.86263882825908,-23.2889217813061,China,"China, Yanping, Nanping, Fujian Province"
SRR12425410,-30.8114546509569,15.2818070339546,-27.648232428853,Taiwan,"Taiwan, Kincheng, Kinmen County, Fujian Province"
SRR12425411,-23.7279158273646,15.1937983810215,-26.1662141130535,Taiwan,"Taiwan, Machu, Lianjiang County, Fujian Province"
SRR12425412,-39.0777903948321,7.12147887412574,-16.300158993135,China,"China, Xiamen Botanical Garden, Xiamen, Fujian Province"
SRR12425413,29.5551741604255,29.1352335889,5.73719353797848,Taiwan,"Taiwan, Fengyuan District, Taichung City"
SRR12425414,-34.1992047119684,14.0915942485015,-31.9536550119138,China,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province"
SRR12425415,-42.5452065670858,3.60393373196104,-13.4510094286456,China,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province"
SRR12425416,36.915943910278,12.7902867574724,13.2419484769611,Taiwan,"Taiwan, Fenggang Township, Pingtung County"
SRR12425417,29.3374188811239,31.4739230010406,8.90457653179584,Taiwan,"Taiwan, Zuozhen District, Tainan City"
SRR12425418,30.7498956361228,31.9783089283501,9.14813501839367,Taiwan,"Taiwan, National Chiayi University, East District, Chiayi City, Chiayi County"
SRR12425419,32.6922955881424,21.0222808409836,10.5797121084323,Taiwan,"Taiwan, Hengchun Township, Pingtung County"
SRR12425420,35.4491215210934,11.1029564346197,12.5229920151554,Taiwan,"Taiwan, Fenglin Township, Hualien County"
SRR12425421,35.5431426401718,9.15858636956755,12.4299683684864,Taiwan,"Taiwan, Fenglin Township, Hualien County"
SRR12425422,36.7119154907799,8.16343218293275,14.4276342159276,Taiwan,"Taiwan, Fuli Township, Hualien County"
SRR12425423,33.1759433825892,7.75237939652403,12.9158012380266,Taiwan,"Taiwan, Fuli Township, Hualien County"
SRR12425424,30.8882824619493,29.8094299756435,8.59188122290137,Taiwan,"Taiwan, Tongluo Township, Miaoli County"
SRR12425425,37.3054926491654,9.60826692740918,12.4621699459983,Taiwan,"Taiwan, Fengbin Township, Hualien County"
SRR12425426,32.0221782996851,8.45251214480476,10.8799645856227,Taiwan,"Taiwan, Nan'ao Township, Yilan County"
SRR12425427,-32.9325634609726,19.1901730153978,-39.8448668255589,China,"China, Liandu, Lishui, Zhejiang Province"
SRR12425428,-27.3440688535064,22.4522074038988,-37.2205054359007,China,"China, Xianju, Taizhou, Zhejiang Province"
SRR12425429,-33.583710638511,18.1403343931008,-33.85041491917,China,"China, Dongyang, Jinhua, Zhejiang Province"
SRR12425430,-37.101641871105,17.3122432830964,-40.8128435083781,China,"China, Xianju, Taizhou, Zhejiang Province"
SRR12425431,-37.9823949965561,18.0212582683959,-41.8442912865108,China,"China, Xianju, Taizhou, Zhejiang Province"
SRR12425432,-56.151070360181,-25.2965262015663,33.6755142999764,China,"China, Disu, Duan, Guangxi Province"
SRR12425433,-57.315388362452,-25.0492263399835,34.667615449217,China,"China, Fangcheng, Fangchenggang, Guangxi Province"
SRR12425434,-55.6611489307068,-25.9094514999475,36.0999699869126,China,"China, Dongmiao, Duan, Guangxi Province"
SRR12425435,29.9984240604758,28.0899193921332,7.72556773373468,Taiwan,"Taiwan, Nantou City, Nantou County"
SRR12425436,-34.2107748287576,16.1996585462517,-30.667485206031,China,"China, Licheng, Quanzhou, Fujian Province"
SRR12425437,-36.2201531571261,16.0798870296468,-33.1069934562301,China,"China, Jinjiang, Quanzhou, Fujian Province"
SRR12425438,-37.6921717160947,14.1256338702007,-28.8795157223644,China,"China, Xiangcheng, Zhangzhou, Fujian Province"
SRR12425439,-38.7827911084499,13.6436541925025,-28.196557973961,China,"China, Siming, Xiamen, Fujian Province"
SRR12425440,-45.1539269922201,-6.02032332078919,0.907860944429153,China,"China, Siming, Xiamen, Fujian Province"
SRR12425441,-40.627925664357,4.22511640140352,-11.8677058347297,China,"China, Longhai, Zhangzhou, Fujian Province"
SRR12425442,-39.8133014221629,15.5635445936162,-31.3554999761086,China,"China, Fengze, Quanzhou, Fujian Province"
SRR12425443,-37.0649154902667,14.0167861349671,-28.0589898256127,China,"China, Xiangcheng, Zhangzhou, Fujian Province"
SRR12425444,-25.7929054963255,17.0990308467813,-30.8482714758682,China,"China, Longhai, Zhangzhou, Fujian Province"
SRR12425445,-44.2586371640575,-3.84775102358899,1.36148410461869,China,"China, Siming, Xiamen, Fujian Province"
SRR12425446,30.6590141135369,29.4020326172623,9.80664488083037,Taiwan,"Taiwan, Zhunan Township, Miaoli County"
SRR12425447,31.8872473641406,31.3236836667644,9.74066772406545,Taiwan,"Taiwan, Nanhua District, Tainan City"
SRR12425448,31.5969377980349,30.7703035619713,8.54710276487946,Taiwan,"Taiwan, Hemei Township, Changhua County"
SRR12425449,35.6418112925366,11.8739856976009,10.8349700508084,Taiwan,"Taiwan, Manjhou Township, Pingtung County"
SRR12425450,35.2864764684435,20.3396536356395,10.4643368446277,Taiwan,"Taiwan, Fenggang Township, Pingtung County"
SRR12425452,33.9591602995032,21.9550348243091,11.1969257753055,Taiwan,"Taiwan, Fangshan Township, Pingtung County"
SRR12425453,32.7137541735642,27.4867626271594,11.6652470276767,Taiwan,"Taiwan, Taiwu Township, Pingtung County"
SRR12425454,32.2631866967078,29.9771678488386,8.64018368005553,Taiwan,"Taiwan, Liukuaicuo, Pingtung City, Pingtung County"
SRR12425455,34.6210405849008,7.41958898770896,11.8702791288698,Taiwan,"Taiwan, Chenggong Township, Taitung County"
SRR12425456,34.8847015003012,6.14576453722936,9.61222844704279,Taiwan,"Taiwan, Taitung City, Taitung County"
SRR12425457,29.344689575717,26.9638288776531,6.90153145820294,Taiwan,"Taiwan, Qionglin Township, Hsinchu County"
SRR12425458,31.186625784535,25.9939323754443,7.94930631535289,Taiwan,"Taiwan, Yujing District, Tainan City"
SRR12425459,31.9711477689451,30.1811551562748,8.41027297783865,Taiwan,"Taiwan, Liukuaicuo, Pingtung City, Pingtung County"
SRR12425460,46.6377429441306,-42.7166115018326,-18.6741125181088,Tonga,"Tonga, Liahona, Tongatapu"
SRR12425461,37.0230557040351,8.30436497002849,13.1046722037703,Taiwan,"Taiwan, Hongtou, Lanyu Township, Taitung County"
SRR12425462,31.9757943443621,23.6378710807028,10.5214408861854,Taiwan,"Taiwan, Luodong Township, Yilan County"
SRR12425463,47.3551105591353,-47.2810475115867,-20.6539852308267,Indonesia,"Indonesia, Lengkeka, Tengah, Sulawesi"
SRR12425464,-49.1796643142405,-22.58399082294,33.4503510400749,Philippines,"Philippines, Los Banos, Laguna, Luzon"
SRR12425467,-55.4253086759969,-27.2022934838605,40.404993123169,Thailand,"Thailand, Nakhon Pathom, Bangkok"
SRR12425470,22.6301012229222,-1.96146671511108,40.9997654699736,Japan,"Japan, Kurima, Miyakojima, Okinawa"
SRR12425471,22.234426230224,-3.82302277238856,43.198685520057,Japan,"Japan, Iriomote, Yaeyama, Okinawa"
SRR12425472,33.319840202733,29.0182380677031,10.5495784304574,Taiwan,"Taiwan, Fangliao Township, Pingtung County"
SRR12425473,23.8312956151214,-4.51510247587186,42.7378783827256,Japan,"Japan, Taketomi, Yaeyama, Okinawa"
SRR12425474,23.9311688465122,-1.78582865842358,43.1602497007703,Japan,"Japan, Ishigaki, Yaeyama, Okinawa"
SRR12425475,48.9673658218169,-50.0235792360119,-21.8942038701206,USA,"USA, Kohala, Lapakahi, Big Island, Hawaii"
SRR12425476,-46.6065067636044,-19.5495009972312,30.9985895555796,China,"China, Wuzhishan, Hainan Province"
SRR12425477,-55.8008638835351,-24.2561315676401,30.7549041483687,China,"China, Pingle, Guilin, Guangxi Province"
SRR12425478,-56.1956925129338,-22.5876035935284,30.303548536902,China,"China, Lipu, Guilin, Guangxi Province"
SRR12425481,-55.7621660064917,-18.0861340163387,21.9891671181426,China,"China, Yangshan, Qingyuan, Guangdong Province"
SRR12425482,-49.7054524312916,-14.5818509614769,18.2598747044592,China,"China, Nanlang, Zhongshan, Guangdong Province"
