Run,PC1,PC2,PC3,Organism,country,locality,haplotype,tree_label
SRR12425370,-48.0676163210291,14.800749558342,-20.3340528005627,Broussonetia papyrifera,China,"China, Liancheng, Longyan, Fujian Province",cp21,"China, Liancheng, Longyan, Fujian Province [cp21]"
SRR12425371,-47.5758390138927,7.55155928680676,-8.04009372487596,Broussonetia papyrifera,China,"China, Liancheng, Longyan, Fujian Province",cp01,"China, Liancheng, Longyan, Fujian Province [cp01]"
SRR12425372,36.961362827973,-7.10829626140614,-10.9875435443002,Broussonetia papyrifera,Taiwan,"Taiwan, Guanshan Township, Taitung County",cp17,"Taiwan, Guanshan Township, Taitung County [cp17]"
SRR12425373,32.7332210967627,-16.2948961663548,-10.7449514947885,Broussonetia papyrifera,Taiwan,"Taiwan, Fangshan Township, Pingtung County",cp17,"Taiwan, Fangshan Township, Pingtung County [cp17]"
SRR12425375,35.441689417755,-7.74261755402791,-11.7642697352964,Broussonetia papyrifera,Taiwan,"Taiwan, Dawu Township, Taitung County",cp16,"Taiwan, Dawu Township, Taitung County [cp16]"
SRR12425376,32.5044804030217,-27.4063219000932,-6.85077639197219,Broussonetia papyrifera,Taiwan,"Taiwan, Yanpu Township, Pingtung County",cp16,"Taiwan, Yanpu Township, Pingtung County [cp16]"
SRR12425378,33.6903803624451,-31.1108731529475,-6.24484129768728,Broussonetia papyrifera,Taiwan,"Taiwan, Taibao Township, Chiayi County",cp11,"Taiwan, Taibao Township, Chiayi County [cp11]"
SRR12425379,29.8040981662715,-29.2735189585566,-5.46051853014712,Broussonetia papyrifera,Taiwan,"Taiwan, Ren'ai Township, Nantou County",cp09,"Taiwan, Ren'ai Township, Nantou County [cp09]"
SRR12425380,39.0061126205096,-7.9017976334256,-13.1400946679883,Broussonetia papyrifera,Taiwan,"Taiwan, Taitung City, Taitung County",cp05,"Taiwan, Taitung City, Taitung County [cp05]"
SRR12425382,34.6955819682115,-10.16837876657,-11.2838742581483,Broussonetia papyrifera,Taiwan,"Taiwan, Xincheng Township, Hualien County",cp06,"Taiwan, Xincheng Township, Hualien County [cp06]"
SRR12425383,36.8728619373108,-9.70936448626482,-11.8133698892819,Broussonetia papyrifera,Taiwan,"Taiwan, Hualien County, Hualien County",cp05,"Taiwan, Hualien County, Hualien County [cp05]"
SRR12425384,35.9058484552388,-8.62914850939199,-11.9621092809969,Broussonetia papyrifera,Taiwan,"Taiwan, Luye Township, Taitung County",cp05,"Taiwan, Luye Township, Taitung County [cp05]"
SRR12425385,-22.6209100937662,11.5428263050134,-21.1313482479855,Broussonetia kaempferi,China,"China, Yongchun, Quanzhou, Fujian Province","","China, Yongchun, Quanzhou, Fujian Province"
SRR12425386,-24.4477865208814,10.7844174139907,-20.5692882518347,Broussonetia monoica,Taiwan,"Taiwan, Fuxing District, Taoyuan City","","Taiwan, Fuxing District, Taoyuan City"
SRR12425387,45.9184957215803,46.6844633637996,20.4243333518347,Broussonetia papyrifera,French Polynesia,"French Polynesia, Tahiti",cp17B,"French Polynesia, Tahiti [cp17B]"
SRR12425388,47.5777946298425,48.8801378232374,21.6178058044271,Broussonetia papyrifera,Samoa,"Samoa, Palauli Siapo demostration, Palauli, Savaii",cp17,"Samoa, Palauli Siapo demostration, Palauli, Savaii [cp17]"
SRR12425389,48.6539644516396,50.3013527663638,22.1244278173551,Broussonetia papyrifera,Samoa,"Samoa, Faleolo International Airpor, Faleolo, Upolu",cp17,"Samoa, Faleolo International Airpor, Faleolo, Upolu [cp17]"
SRR12425390,45.5131996873819,46.9148586197781,20.7425104078863,Broussonetia papyrifera,Fiji,"Fiji, Ekubo, Vatulele",cp17,"Fiji, Ekubo, Vatulele [cp17]"
SRR12425391,35.177686277618,-7.8738512726156,-10.92237839207,Broussonetia papyrifera,Taiwan,"Taiwan, Changbin Township, Taitung County",cp05,"Taiwan, Changbin Township, Taitung County [cp05]"
SRR12425392,46.2607349403043,47.6330089492421,20.9400410897361,Broussonetia papyrifera,Tonga,"Tonga, Nuku'alofa, Tongatapu",cp17,"Tonga, Nuku'alofa, Tongatapu [cp17]"
SRR12425393,-31.6842086725072,-23.6600431568729,41.6325718558042,Broussonetia papyrifera,Japan,"Japan, The University of Tokyo, Bunkyo, Tokyo",cp28,"Japan, The University of Tokyo, Bunkyo, Tokyo [cp28]"
SRR12425394,-32.0886218549932,-22.0703046435894,42.3178675260487,Broussonetia papyrifera,Japan,"Japan, The University of Tokyo, Bunkyo, Tokyo",cp28,"Japan, The University of Tokyo, Bunkyo, Tokyo [cp28]"
SRR12425395,-44.8161480543369,7.08952546938236,-2.10321998381137,Broussonetia papyrifera,China,"China, Peking University, Haidian, Beijing",cp40,"China, Peking University, Haidian, Beijing [cp40]"
SRR12425396,-45.7243182756228,7.03058085610175,-3.89350574740801,Broussonetia papyrifera,China,"China, Peking University, Haidian, Beijing",CloseTocp40,"China, Peking University, Haidian, Beijing [CloseTocp40]"
SRR12425397,-45.6888487285934,6.85473578962111,-4.07548104198348,Broussonetia papyrifera,China,"China, Yuntai Mountain, Jiaozuo, Henan Province",cp40,"China, Yuntai Mountain, Jiaozuo, Henan Province [cp40]"
SRR12425398,-41.636509613437,-0.622897181844481,7.83602310264955,Broussonetia papyrifera,China,"China, Mengyin, Linyi, Shandong Province",cp40,"China, Mengyin, Linyi, Shandong Province [cp40]"
SRR12425399,-42.8569086777774,-1.47899879141003,10.6227772576842,Broussonetia papyrifera,China,"China, White Horse Temple, Taian, Shandong Province",cp29,"China, White Horse Temple, Taian, Shandong Province [cp29]"
SRR12425400,-41.9835943602745,-0.537990075847903,7.80573740244251,Broussonetia papyrifera,China,"China, Jiawang, Xuzhou, Zhejiang Province",cp29,"China, Jiawang, Xuzhou, Zhejiang Province [cp29]"
SRR12425401,-38.1503770723472,-9.60456606231586,23.7034094748459,Broussonetia papyrifera,China,"China, Lianyun, Lianyungang, Zhejiang Province",cp01,"China, Lianyun, Lianyungang, Zhejiang Province [cp01]"
SRR12425402,31.9807805929987,-26.6539277388243,-9.50922540257278,Broussonetia papyrifera,Taiwan,"Taiwan, Bali District, Taipei City",CloseTocp01,"Taiwan, Bali District, Taipei City [CloseTocp01]"
SRR12425403,-32.6311172027984,-11.4249706528327,22.7888591347689,Broussonetia papyrifera,China,"China, Jurong, Zhenjiang, Jiangsu Province",cp01,"China, Jurong, Zhenjiang, Jiangsu Province [cp01]"
SRR12425404,-29.2301603071452,-17.9030500005506,30.9654274150064,Broussonetia papyrifera,China,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City",CloseTocp01,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City [CloseTocp01]"
SRR12425405,-27.3881030328162,-17.0490163177186,30.8062836023347,Broussonetia papyrifera,China,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City",cp01,"China, Shanghai Chenshan Botanical Garden, Songjiang, Shanghai City [cp01]"
SRR12425406,-33.0336423964465,-18.1785881835658,34.3971433833393,Broussonetia papyrifera,China,"China, Xihu, Hangzhou, Zhejiang Province",cp22,"China, Xihu, Hangzhou, Zhejiang Province [cp22]"
SRR12425407,-31.9273842185151,-18.4567039584192,34.4443136856806,Broussonetia papyrifera,China,"China, Deqing, Huzhou, Zhejiang Province",cp01,"China, Deqing, Huzhou, Zhejiang Province [cp01]"
SRR12425408,-37.7593834375367,-8.03246165412072,19.4486539183258,Broussonetia papyrifera,China,"China, Donghai, Lianyungang, Jiangsu Province",cp47,"China, Donghai, Lianyungang, Jiangsu Province [cp47]"
SRR12425409,-36.8519890831213,-9.01988621651676,23.4357727287626,Broussonetia papyrifera,China,"China, Yanping, Nanping, Fujian Province",cp20,"China, Yanping, Nanping, Fujian Province [cp20]"
SRR12425410,-30.5407438222447,-15.6247390158465,28.3492935048306,Broussonetia papyrifera,Taiwan,"Taiwan, Kincheng, Kinmen County, Fujian Province",cp48,"Taiwan, Kincheng, Kinmen County, Fujian Province [cp48]"
SRR12425411,-23.4341485453125,-15.4220038198956,26.5013749623307,Broussonetia papyrifera,Taiwan,"Taiwan, Machu, Lianjiang County, Fujian Province",cp46,"Taiwan, Machu, Lianjiang County, Fujian Province [cp46]"
SRR12425412,-38.8645027463995,-7.43617419036004,16.9852151627982,Broussonetia papyrifera,China,"China, Xiamen Botanical Garden, Xiamen, Fujian Province",cp22,"China, Xiamen Botanical Garden, Xiamen, Fujian Province [cp22]"
SRR12425413,29.8640729776545,-29.1220168310898,-5.28958131406254,Broussonetia papyrifera,Taiwan,"Taiwan, Fengyuan District, Taichung City",cp03,"Taiwan, Fengyuan District, Taichung City [cp03]"
SRR12425414,-33.8707848987603,-14.338169531331,32.5411694158126,Broussonetia papyrifera,China,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province",cp01,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province [cp01]"
SRR12425415,-42.3310594313782,-4.03091872437413,14.2451201203681,Broussonetia papyrifera,China,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province",cp01,"China, Fujian Province Agriculture and Forestry University, Fuzhou, Fujian Province [cp01]"
SRR12425416,37.2240395154161,-12.469353726381,-13.0167897445177,Broussonetia papyrifera,Taiwan,"Taiwan, Fenggang Township, Pingtung County",p17,"Taiwan, Fenggang Township, Pingtung County [p17]"
SRR12425417,29.7684293616581,-31.5176190925245,-8.55982001678446,Broussonetia papyrifera,Taiwan,"Taiwan, Zuozhen District, Tainan City",cp16,"Taiwan, Zuozhen District, Tainan City [cp16]"
SRR12425418,31.1811953320709,-32.0058197494075,-8.73688381260472,Broussonetia papyrifera,Taiwan,"Taiwan, National Chiayi University, East District, Chiayi City, Chiayi County",cp09,"Taiwan, National Chiayi University, East District, Chiayi City, Chiayi County [cp09]"
SRR12425419,32.9465818063751,-20.8627456274156,-10.326486592184,Broussonetia papyrifera,Taiwan,"Taiwan, Hengchun Township, Pingtung County",cp09,"Taiwan, Hengchun Township, Pingtung County [cp09]"
SRR12425420,35.7529418097692,-10.7331311748182,-12.4100992765964,Broussonetia papyrifera,Taiwan,"Taiwan, Fenglin Township, Hualien County",cp52,"Taiwan, Fenglin Township, Hualien County [cp52]"
SRR12425421,35.7540419157245,-8.86555054793221,-12.2813784240104,Broussonetia papyrifera,Taiwan,"Taiwan, Fenglin Township, Hualien County",cp06,"Taiwan, Fenglin Township, Hualien County [cp06]"
SRR12425422,36.9066039349961,-7.76032631201833,-14.2856772937147,Broussonetia papyrifera,Taiwan,"Taiwan, Fuli Township, Hualien County",cp05,"Taiwan, Fuli Township, Hualien County [cp05]"
SRR12425423,33.2581172607131,-7.37282403864811,-12.7516333915685,Broussonetia papyrifera,Taiwan,"Taiwan, Fuli Township, Hualien County",cp05,"Taiwan, Fuli Township, Hualien County [cp05]"
SRR12425424,31.3049255127762,-29.838573202324,-8.07898896820392,Broussonetia papyrifera,Taiwan,"Taiwan, Tongluo Township, Miaoli County",cp01,"Taiwan, Tongluo Township, Miaoli County [cp01]"
SRR12425425,37.5879427639043,-9.27674680008493,-12.3331389732621,Broussonetia papyrifera,Taiwan,"Taiwan, Fengbin Township, Hualien County",cp01,"Taiwan, Fengbin Township, Hualien County [cp01]"
SRR12425426,32.1830094908313,-8.14343088490886,-10.7363719177493,Broussonetia papyrifera,Taiwan,"Taiwan, Nan'ao Township, Yilan County",cp01,"Taiwan, Nan'ao Township, Yilan County [cp01]"
SRR12425427,-32.6356422661998,-19.5012315710203,40.3979278757006,Broussonetia papyrifera,China,"China, Liandu, Lishui, Zhejiang Province",cp22,"China, Liandu, Lishui, Zhejiang Province [cp22]"
SRR12425428,-27.0006207335843,-22.7481953218921,37.7565243856533,Broussonetia papyrifera,China,"China, Xianju, Taizhou, Zhejiang Province",cp01,"China, Xianju, Taizhou, Zhejiang Province [cp01]"
SRR12425429,-33.2477905933711,-18.4544125759544,34.2514480220179,Broussonetia papyrifera,China,"China, Dongyang, Jinhua, Zhejiang Province",cp01,"China, Dongyang, Jinhua, Zhejiang Province [cp01]"
SRR12425430,-36.7599027983243,-17.5644214151871,41.2110064104079,Broussonetia papyrifera,China,"China, Xianju, Taizhou, Zhejiang Province",cp28,"China, Xianju, Taizhou, Zhejiang Province [cp28]"
SRR12425431,-37.6398919412345,-18.3133828957013,42.3469261774986,Broussonetia papyrifera,China,"China, Xianju, Taizhou, Zhejiang Province",cp28,"China, Xianju, Taizhou, Zhejiang Province [cp28]"
SRR12425432,-56.1689273211986,24.6895216901578,-32.6158580899075,Broussonetia papyrifera,China,"China, Disu, Duan, Guangxi Province",cp34,"China, Disu, Duan, Guangxi Province [cp34]"
SRR12425433,-57.5244499155751,24.4634694842453,-33.4689298085773,Broussonetia papyrifera,China,"China, Fangcheng, Fangchenggang, Guangxi Province",cp32,"China, Fangcheng, Fangchenggang, Guangxi Province [cp32]"
SRR12425434,-55.8414138934955,25.4699895929668,-35.0740266879311,Broussonetia papyrifera,China,"China, Dongmiao, Duan, Guangxi Province",cp21,"China, Dongmiao, Duan, Guangxi Province [cp21]"
SRR12425435,30.4287984104878,-28.2897457760651,-7.35319313741124,Broussonetia papyrifera,Taiwan,"Taiwan, Nantou City, Nantou County",cp01,"Taiwan, Nantou City, Nantou County [cp01]"
SRR12425436,-33.9553426335049,-16.4610010258145,31.2478629553074,Broussonetia papyrifera,China,"China, Licheng, Quanzhou, Fujian Province",cp34,"China, Licheng, Quanzhou, Fujian Province [cp34]"
SRR12425437,-36.0254635039007,-16.3312637803969,33.7071144731363,Broussonetia papyrifera,China,"China, Jinjiang, Quanzhou, Fujian Province",cp20,"China, Jinjiang, Quanzhou, Fujian Province [cp20]"
SRR12425438,-37.4324634876502,-14.5420260681972,29.7290551048181,Broussonetia papyrifera,China,"China, Xiangcheng, Zhangzhou, Fujian Province",cp20,"China, Xiangcheng, Zhangzhou, Fujian Province [cp20]"
SRR12425439,-38.6643916040037,-14.1805398918114,29.1340242276704,Broussonetia papyrifera,China,"China, Siming, Xiamen, Fujian Province",cp20,"China, Siming, Xiamen, Fujian Province [cp20]"
SRR12425440,-45.2103767948598,5.91355523498212,-0.783995866044228,Broussonetia papyrifera,China,"China, Siming, Xiamen, Fujian Province",cp40,"China, Siming, Xiamen, Fujian Province [cp40]"
SRR12425441,-40.554414833047,-4.2892276707009,11.8959671914135,Broussonetia papyrifera,China,"China, Longhai, Zhangzhou, Fujian Province",cp29,"China, Longhai, Zhangzhou, Fujian Province [cp29]"
SRR12425442,-39.6239933049978,-15.9026079091604,31.8541603011639,Broussonetia papyrifera,China,"China, Fengze, Quanzhou, Fujian Province",CloseTocp01,"China, Fengze, Quanzhou, Fujian Province [CloseTocp01]"
SRR12425443,-36.7930479372363,-14.4106817689667,28.6907763302144,Broussonetia papyrifera,China,"China, Xiangcheng, Zhangzhou, Fujian Province",cp01,"China, Xiangcheng, Zhangzhou, Fujian Province [cp01]"
SRR12425444,-25.5500386019648,-17.1819979710981,31.1289585709211,Broussonetia papyrifera,China,"China, Longhai, Zhangzhou, Fujian Province",cp01,"China, Longhai, Zhangzhou, Fujian Province [cp01]"
SRR12425445,-44.1979898944651,3.65747577749101,-0.901613613713797,Broussonetia papyrifera,China,"China, Siming, Xiamen, Fujian Province",cp01,"China, Siming, Xiamen, Fujian Province [cp01]"
