chrom,window_start,variant_count,chrom_label,chrom_length,window_end,window_mid,window_width,window_size,variants_per_mb,window_size_label
scaffold_1,1,375,Chr1,45697135,500000,250000.5,500000,500000,750,500 kb
scaffold_1,500001,301,Chr1,45697135,1000000,750000.5,500000,500000,602,500 kb
scaffold_1,1000001,459,Chr1,45697135,1500000,1250000.5,500000,500000,918,500 kb
scaffold_1,1500001,395,Chr1,45697135,2000000,1750000.5,500000,500000,790,500 kb
scaffold_1,2000001,378,Chr1,45697135,2500000,2250000.5,500000,500000,756,500 kb
scaffold_1,2500001,510,Chr1,45697135,3000000,2750000.5,500000,500000,1020,500 kb
scaffold_1,3000001,471,Chr1,45697135,3500000,3250000.5,500000,500000,942,500 kb
scaffold_1,3500001,435,Chr1,45697135,4000000,3750000.5,500000,500000,870,500 kb
scaffold_1,4000001,513,Chr1,45697135,4500000,4250000.5,500000,500000,1026,500 kb
scaffold_1,4500001,386,Chr1,45697135,5000000,4750000.5,500000,500000,772,500 kb
scaffold_1,5000001,331,Chr1,45697135,5500000,5250000.5,500000,500000,662,500 kb
scaffold_1,5500001,409,Chr1,45697135,6000000,5750000.5,500000,500000,818,500 kb
scaffold_1,6000001,399,Chr1,45697135,6500000,6250000.5,500000,500000,798,500 kb
scaffold_1,6500001,358,Chr1,45697135,7000000,6750000.5,500000,500000,716,500 kb
scaffold_1,7000001,193,Chr1,45697135,7500000,7250000.5,500000,500000,386,500 kb
scaffold_1,7500001,150,Chr1,45697135,8000000,7750000.5,500000,500000,300,500 kb
scaffold_1,8000001,189,Chr1,45697135,8500000,8250000.5,500000,500000,378,500 kb
scaffold_1,8500001,216,Chr1,45697135,9000000,8750000.5,500000,500000,432,500 kb
scaffold_1,9000001,256,Chr1,45697135,9500000,9250000.5,500000,500000,512,500 kb
scaffold_1,9500001,331,Chr1,45697135,10000000,9750000.5,500000,500000,662,500 kb
scaffold_1,10000001,223,Chr1,45697135,10500000,10250000.5,500000,500000,446,500 kb
scaffold_1,10500001,207,Chr1,45697135,11000000,10750000.5,500000,500000,414,500 kb
scaffold_1,11000001,180,Chr1,45697135,11500000,11250000.5,500000,500000,360,500 kb
scaffold_1,11500001,248,Chr1,45697135,12000000,11750000.5,500000,500000,496,500 kb
scaffold_1,12000001,274,Chr1,45697135,12500000,12250000.5,500000,500000,548,500 kb
scaffold_1,12500001,160,Chr1,45697135,13000000,12750000.5,500000,500000,320,500 kb
scaffold_1,13000001,197,Chr1,45697135,13500000,13250000.5,500000,500000,394,500 kb
scaffold_1,13500001,203,Chr1,45697135,14000000,13750000.5,500000,500000,406,500 kb
scaffold_1,14000001,161,Chr1,45697135,14500000,14250000.5,500000,500000,322,500 kb
scaffold_1,14500001,112,Chr1,45697135,15000000,14750000.5,500000,500000,224,500 kb
scaffold_1,15000001,135,Chr1,45697135,15500000,15250000.5,500000,500000,270,500 kb
scaffold_1,15500001,126,Chr1,45697135,16000000,15750000.5,500000,500000,252,500 kb
scaffold_1,16000001,115,Chr1,45697135,16500000,16250000.5,500000,500000,230,500 kb
scaffold_1,16500001,192,Chr1,45697135,17000000,16750000.5,500000,500000,384,500 kb
scaffold_1,17000001,345,Chr1,45697135,17500000,17250000.5,500000,500000,690,500 kb
scaffold_1,17500001,171,Chr1,45697135,18000000,17750000.5,500000,500000,342,500 kb
scaffold_1,18000001,287,Chr1,45697135,18500000,18250000.5,500000,500000,574,500 kb
