chrom,window_start,variant_count,chrom_label,chrom_length,window_end,window_mid,window_width,window_size,variants_per_mb,window_size_label
scaffold_1,1,1,Chr1,45697135,100000,50000.5,100000,100000,10,100 kb
scaffold_1,100001,92,Chr1,45697135,200000,150000.5,100000,100000,920,100 kb
scaffold_1,200001,85,Chr1,45697135,300000,250000.5,100000,100000,850,100 kb
scaffold_1,300001,139,Chr1,45697135,400000,350000.5,100000,100000,1390,100 kb
scaffold_1,400001,58,Chr1,45697135,500000,450000.5,100000,100000,580,100 kb
scaffold_1,500001,65,Chr1,45697135,600000,550000.5,100000,100000,650,100 kb
scaffold_1,600001,75,Chr1,45697135,700000,650000.5,100000,100000,750,100 kb
scaffold_1,700001,78,Chr1,45697135,800000,750000.5,100000,100000,780,100 kb
scaffold_1,800001,12,Chr1,45697135,900000,850000.5,100000,100000,120,100 kb
scaffold_1,900001,71,Chr1,45697135,1000000,950000.5,100000,100000,710,100 kb
scaffold_1,1000001,89,Chr1,45697135,1100000,1050000.5,100000,100000,890,100 kb
scaffold_1,1100001,39,Chr1,45697135,1200000,1150000.5,100000,100000,390,100 kb
scaffold_1,1200001,104,Chr1,45697135,1300000,1250000.5,100000,100000,1040,100 kb
scaffold_1,1300001,93,Chr1,45697135,1400000,1350000.5,100000,100000,930,100 kb
scaffold_1,1400001,134,Chr1,45697135,1500000,1450000.5,100000,100000,1340,100 kb
scaffold_1,1500001,66,Chr1,45697135,1600000,1550000.5,100000,100000,660,100 kb
scaffold_1,1600001,79,Chr1,45697135,1700000,1650000.5,100000,100000,790,100 kb
scaffold_1,1700001,69,Chr1,45697135,1800000,1750000.5,100000,100000,690,100 kb
scaffold_1,1800001,93,Chr1,45697135,1900000,1850000.5,100000,100000,930,100 kb
scaffold_1,1900001,88,Chr1,45697135,2000000,1950000.5,100000,100000,880,100 kb
scaffold_1,2000001,28,Chr1,45697135,2100000,2050000.5,100000,100000,280,100 kb
scaffold_1,2100001,117,Chr1,45697135,2200000,2150000.5,100000,100000,1170,100 kb
scaffold_1,2200001,90,Chr1,45697135,2300000,2250000.5,100000,100000,900,100 kb
scaffold_1,2300001,101,Chr1,45697135,2400000,2350000.5,100000,100000,1010,100 kb
scaffold_1,2400001,42,Chr1,45697135,2500000,2450000.5,100000,100000,420,100 kb
scaffold_1,2500001,46,Chr1,45697135,2600000,2550000.5,100000,100000,460,100 kb
scaffold_1,2600001,144,Chr1,45697135,2700000,2650000.5,100000,100000,1440,100 kb
scaffold_1,2700001,117,Chr1,45697135,2800000,2750000.5,100000,100000,1170,100 kb
scaffold_1,2800001,86,Chr1,45697135,2900000,2850000.5,100000,100000,860,100 kb
scaffold_1,2900001,117,Chr1,45697135,3000000,2950000.5,100000,100000,1170,100 kb
scaffold_1,3000001,119,Chr1,45697135,3100000,3050000.5,100000,100000,1190,100 kb
scaffold_1,3100001,120,Chr1,45697135,3200000,3150000.5,100000,100000,1200,100 kb
scaffold_1,3200001,100,Chr1,45697135,3300000,3250000.5,100000,100000,1000,100 kb
scaffold_1,3300001,76,Chr1,45697135,3400000,3350000.5,100000,100000,760,100 kb
scaffold_1,3400001,56,Chr1,45697135,3500000,3450000.5,100000,100000,560,100 kb
scaffold_1,3500001,59,Chr1,45697135,3600000,3550000.5,100000,100000,590,100 kb
scaffold_1,3600001,101,Chr1,45697135,3700000,3650000.5,100000,100000,1010,100 kb
scaffold_1,3700001,101,Chr1,45697135,3800000,3750000.5,100000,100000,1010,100 kb
scaffold_1,3800001,84,Chr1,45697135,3900000,3850000.5,100000,100000,840,100 kb
scaffold_1,3900001,90,Chr1,45697135,4000000,3950000.5,100000,100000,900,100 kb
scaffold_1,4000001,135,Chr1,45697135,4100000,4050000.5,100000,100000,1350,100 kb
scaffold_1,4100001,24,Chr1,45697135,4200000,4150000.5,100000,100000,240,100 kb
scaffold_1,4200001,91,Chr1,45697135,4300000,4250000.5,100000,100000,910,100 kb
scaffold_1,4300001,138,Chr1,45697135,4400000,4350000.5,100000,100000,1380,100 kb
scaffold_1,4400001,125,Chr1,45697135,4500000,4450000.5,100000,100000,1250,100 kb
scaffold_1,4500001,104,Chr1,45697135,4600000,4550000.5,100000,100000,1040,100 kb
scaffold_1,4600001,129,Chr1,45697135,4700000,4650000.5,100000,100000,1290,100 kb
scaffold_1,4700001,61,Chr1,45697135,4800000,4750000.5,100000,100000,610,100 kb
scaffold_1,4800001,36,Chr1,45697135,4900000,4850000.5,100000,100000,360,100 kb
scaffold_1,4900001,56,Chr1,45697135,5000000,4950000.5,100000,100000,560,100 kb
scaffold_1,5000001,63,Chr1,45697135,5100000,5050000.5,100000,100000,630,100 kb
scaffold_1,5100001,80,Chr1,45697135,5200000,5150000.5,100000,100000,800,100 kb
scaffold_1,5200001,47,Chr1,45697135,5300000,5250000.5,100000,100000,470,100 kb
scaffold_1,5300001,59,Chr1,45697135,5400000,5350000.5,100000,100000,590,100 kb
scaffold_1,5400001,82,Chr1,45697135,5500000,5450000.5,100000,100000,820,100 kb
scaffold_1,5500001,80,Chr1,45697135,5600000,5550000.5,100000,100000,800,100 kb
scaffold_1,5600001,96,Chr1,45697135,5700000,5650000.5,100000,100000,960,100 kb
scaffold_1,5700001,73,Chr1,45697135,5800000,5750000.5,100000,100000,730,100 kb
scaffold_1,5800001,89,Chr1,45697135,5900000,5850000.5,100000,100000,890,100 kb
scaffold_1,5900001,71,Chr1,45697135,6000000,5950000.5,100000,100000,710,100 kb
scaffold_1,6000001,119,Chr1,45697135,6100000,6050000.5,100000,100000,1190,100 kb
scaffold_1,6100001,60,Chr1,45697135,6200000,6150000.5,100000,100000,600,100 kb
scaffold_1,6200001,58,Chr1,45697135,6300000,6250000.5,100000,100000,580,100 kb
scaffold_1,6300001,60,Chr1,45697135,6400000,6350000.5,100000,100000,600,100 kb
scaffold_1,6400001,102,Chr1,45697135,6500000,6450000.5,100000,100000,1020,100 kb
scaffold_1,6500001,77,Chr1,45697135,6600000,6550000.5,100000,100000,770,100 kb
scaffold_1,6600001,95,Chr1,45697135,6700000,6650000.5,100000,100000,950,100 kb
scaffold_1,6700001,71,Chr1,45697135,6800000,6750000.5,100000,100000,710,100 kb
scaffold_1,6800001,63,Chr1,45697135,6900000,6850000.5,100000,100000,630,100 kb
scaffold_1,6900001,52,Chr1,45697135,7000000,6950000.5,100000,100000,520,100 kb
scaffold_1,7000001,43,Chr1,45697135,7100000,7050000.5,100000,100000,430,100 kb
scaffold_1,7100001,69,Chr1,45697135,7200000,7150000.5,100000,100000,690,100 kb
scaffold_1,7200001,40,Chr1,45697135,7300000,7250000.5,100000,100000,400,100 kb
scaffold_1,7300001,16,Chr1,45697135,7400000,7350000.5,100000,100000,160,100 kb
scaffold_1,7400001,25,Chr1,45697135,7500000,7450000.5,100000,100000,250,100 kb
scaffold_1,7500001,30,Chr1,45697135,7600000,7550000.5,100000,100000,300,100 kb
