#92 total breaks in 90 contigs
#orig_contig	fragment	break_start	break_end	fragment_len
contig_10117_np12	contig_10117_np12:::fragment_1	0	4803	4803
contig_10117_np12	contig_10117_np12:::fragment_2:::debris	4803	17679	12876
contig_10232_np12	contig_10232_np12:::fragment_1	0	7102	7102
contig_10232_np12	contig_10232_np12:::fragment_2:::debris	7102	8102	1000
contig_10232_np12	contig_10232_np12:::fragment_3	8102	31102	23000
contig_10232_np12	contig_10232_np12:::fragment_4:::debris	31102	40138	9036
contig_10265_np12	contig_10265_np12:::fragment_1	0	3900	3900
contig_10265_np12	contig_10265_np12:::fragment_2:::debris	3900	15322	11422
contig_10503_np12	contig_10503_np12:::fragment_1	0	87815	87815
contig_10503_np12	contig_10503_np12:::fragment_2:::debris	87815	103939	16124
contig_10604_np12	contig_10604_np12:::fragment_1	0	13841	13841
contig_10604_np12	contig_10604_np12:::fragment_2:::debris	13841	17790	3949
contig_10630_np12	contig_10630_np12:::fragment_1:::debris	0	6051	6051
contig_10630_np12	contig_10630_np12:::fragment_2	6051	80969	74918
contig_10668_np12	contig_10668_np12:::fragment_1:::debris	0	5742	5742
contig_10668_np12	contig_10668_np12:::fragment_2	5742	40733	34991
contig_10935_np12	contig_10935_np12:::fragment_1:::debris	0	6148	6148
contig_10935_np12	contig_10935_np12:::fragment_2	6148	26851	20703
contig_11295_np12	contig_11295_np12:::fragment_1	0	5797	5797
contig_11295_np12	contig_11295_np12:::fragment_2:::debris	5797	27130	21333
contig_11337_np12	contig_11337_np12:::fragment_1:::debris	0	13583	13583
contig_11337_np12	contig_11337_np12:::fragment_2	13583	30459	16876
contig_11403_np12	contig_11403_np12:::fragment_1:::debris	0	11532	11532
contig_11403_np12	contig_11403_np12:::fragment_2	11532	28354	16822
contig_11434_np12	contig_11434_np12:::fragment_1	0	12846	12846
contig_11434_np12	contig_11434_np12:::fragment_2:::debris	12846	27931	15085
contig_1155_np12	contig_1155_np12:::fragment_1	0	35562	35562
contig_1155_np12	contig_1155_np12:::fragment_2:::debris	35562	58562	23000
contig_1155_np12	contig_1155_np12:::fragment_3	58562	74228	15666
contig_11583_np12	contig_11583_np12:::fragment_1	0	70003	70003
contig_11583_np12	contig_11583_np12:::fragment_2:::debris	70003	75142	5139
contig_11689_np12	contig_11689_np12:::fragment_1	0	17820	17820
contig_11689_np12	contig_11689_np12:::fragment_2:::debris	17820	22820	5000
contig_11689_np12	contig_11689_np12:::fragment_3	22820	55161	32341
contig_11839_np12	contig_11839_np12:::fragment_1	0	55147	55147
contig_11839_np12	contig_11839_np12:::fragment_2:::debris	55147	57147	2000
contig_11839_np12	contig_11839_np12:::fragment_3	57147	113061	55914
contig_11865_np12	contig_11865_np12:::fragment_1	0	9195	9195
contig_11865_np12	contig_11865_np12:::fragment_2:::debris	9195	27735	18540
contig_11893_np12	contig_11893_np12:::fragment_1	0	45850	45850
contig_11893_np12	contig_11893_np12:::fragment_2:::debris	45850	74090	28240
contig_11898_np12	contig_11898_np12:::fragment_1	0	5496	5496
contig_11898_np12	contig_11898_np12:::fragment_2:::debris	5496	16697	11201
contig_11940_np12	contig_11940_np12:::fragment_1	0	103962	103962
