chrom,chrom_num,chrom_label,length,length_mb,variant_count,variants_per_mb
scaffold_1,1,Chr1,45697135,45.697135,25679,561.9389486890152
scaffold_2,2,Chr2,40817374,40.817374,16411,402.0591819552135
scaffold_3,3,Chr3,35723232,35.723232,15568,435.7948351369775
scaffold_4,4,Chr4,32323243,32.323243,11596,358.7511315000169
scaffold_5,5,Chr5,30106416,30.106416,17124,568.7824150174501
scaffold_6,6,Chr6,23938505,23.938505,17248,720.5128306884661
scaffold_7,7,Chr7,22643560,22.64356,12016,530.6586066855211
scaffold_8,8,Chr8,22139275,22.139275,17102,772.47335335055
scaffold_9,9,Chr9,21681353,21.681353,14943,689.2097554981923
scaffold_10,10,Chr10,21286786,21.286786,16422,771.4645132430984
scaffold_11,11,Chr11,19266831,19.266831,12999,674.6828266672396
scaffold_12,12,Chr12,17831046,17.831046,10633,596.3194755932994
scaffold_13,13,Chr13,15012242,15.012242,11074,737.6646339700626
scaffold_14,14,Chr14,9100013,9.100013,1869,205.3843219784411
scaffold_15,15,Chr15,6213574,6.213574,822,132.29101319144183
scaffold_16,16,Chr16,2846023,2.846023,1376,483.4816865499681
scaffold_17,17,Chr17,2695941,2.695941,411,152.45140750483785
scaffold_18,18,Chr18,1965232,1.965232,255,129.75567261269916
